,Job Title,Company,Location,Salary
1478,Senior Backend Engineer,Atlantic Media,"New York, NY","$113,000 - $170,000 a year (Indeed est.)"
1480,Lead Full Stack Engineer,Major League Soccer,"New York, NY 10018 (Clinton area)","$91,000 - $130,000 a year (Indeed est.)"
1481,Software Engineer,Quantex Capital Partners,"Hoboken, NJ","$100,000 - $149,000 a year (Indeed est.)"
1484,Associate Software Developer,Prudential,"Roseland, NJ","$68,000 - $102,000 a year (Indeed est.)"
1485,Backend Engineer (Java Focused),NYSHEX (New York Shipping Exchange),"New York, NY 10279 (Financial District area)","$121,000 - $182,000 a year (Indeed est.)"
1488,Software Engineer,TECHNOVATORS,"Princeton, NJ","$87,000 - $131,000 a year (Indeed est.)"
1489,"Software Engineer, Backend (Materials Science)",Schrödinger,"New York, NY","$104,000 - $156,000 a year (Indeed est.)"
1491,Senior Software Engineer,Publicis Spine,"New York, NY 10019 (Midtown area)","$109,000 - $146,000 a year (Indeed est.)"
1492,eCommerce Full Stack Sr Engineer,PepsiCo,"New York, NY 10017 (Midtown area)","$111,000 - $158,000 a year (Indeed est.)"
1493,Software Engineer - Equities Tech - Derivatives,Goldman Sachs,"New York, NY 10282 (Tribeca area)","$125,000 - $187,000 a year (Indeed est.)"
1495,"Senior Software Engineer, Customer Care Tools",The New York Times,"New York, NY 10036","$96,000 - $129,000 a year (Indeed est.)"
1496,SOFTWARE ENGINEERS (NODE JS PROGRAMMER),Softincubator,"New Hyde Park, NY","$81,000 - $122,000 a year (Indeed est.)"
1533,Real Estate System Engineer,SC Management,"New York, NY 10019 (Midtown area)","$65,000 a year"
