,Job_Title,Company,Location,Salary
148,Software Engineer,Badger Meter,"Silicon Valley, CA",96000.0
149,Software Engineer,Carbon3D,"Redwood City, CA 94063",129000.0
150,"Software Engineer, Backend",Roostify,"San Francisco, CA",140000.0
151,Quality Engineer,Adobe,"San Jose, CA",105500.0
152,Backend Software Engineer,Kyndi,"San Mateo, CA 94401 (North Central area)",126500.0
153,Software Engineer,Microchip Technology,"San Jose, CA",86000.0
154,JAVA Software Developer / Engineer,RF Coverage,"Santa Clara, CA",127500.0
155,Backend Software Architect,Willow Pump,"Mountain View, CA 94040",145000.0
156,Full Stack Software Engineer,Paypal,"San Jose, CA 95131 (North Valley area)",119500.0
157,"Software Engineer, Frontend",Enlitic,"San Francisco, CA 94111 (Financial District area)",145000.0
158,Senior Software Engineer - IoT Analytics solutions,"JAMY INTERACTIVE, INC","Santa Clara, CA",133500.0
159,Software Engineer,Quizlet,"San Francisco, CA",128500.0
160,Software Engineer,3T Biosciences,"Menlo Park, CA",100000.0
161,"Manufacturing Test Development Engineer, Software Tools",Google,"Sunnyvale, CA",126500.0
164,Staff Software Engineer,Genesys,"Daly City, CA",147597.0
166,Software Engineer,Accela,"San Ramon, CA 94583",125500.0
167,"Software Engineer, Co-Op, Internship",Palantir Technologies,"Palo Alto, CA",140000.0
168,Principle Software Developer,ANSYS,"San Jose, CA 95134 (North San Jose area)",109000.0
170,Software Engineer — React/Node/AWS,Thorn,"San Francisco, CA",132000.0
171,Technical Support Associate,SUPERMICRO COMPUTER INC,"San Jose, CA 95131 (North Valley area)",65000.0
172,Software Engineer,Resourznet Solutions,"Hayward, CA 94544 (Tennyson-Alquire area)",109000.0
173,System Analyst,Intuitive Surgical,"Sunnyvale, CA",86500.0
174,Front End Engineer,Myra Labs,"San Francisco, CA",138500.0
175,Software Dev Engineer - Yahoo Mail,Oath Inc,"Sunnyvale, CA",124000.0
176,Software Engineer,DataCare Corporation,"San Jose, CA 95129 (West San Jose area)",67500.0
177,"Software Engineer, Compilers and Static Code Analysis - Fort...",MICRGLOBAL,"Sunnyvale, CA 94089",124000.0
178,Software Test Automation Intern,"Auris Health, Inc.","Redwood City, CA",78500.0
179,Business Support Software Engineer,Paypal,"San Jose, CA 95131 (North Valley area)",103500.0
180,Software Developer Engineer in Test,Blue Owl,"San Francisco, CA",125000.0
181,"MTS1, Software Engineer - Java/C++",Paypal,"San Jose, CA 95131 (North Valley area)",135000.0
182,"Senior Software Engineer, Algorithms",Shaper Tools,"San Francisco, CA 94110 (Mission area)",125500.0
183,Software Engineer,Proofpoint,"Sunnyvale, CA 94089",120500.0
184,Software Engineer (SOA),"Sigmaways, Inc.","Sunnyvale, CA",130000.0
185,Software Engineer Staff,Juniper Networks,"Sunnyvale, CA 94089",122500.0
186,University Programs: Software Engineer I,Raytheon,"Sunnyvale, CA",120000.0
187,Software Engineer,VMware,"Palo Alto, CA 94304",151000.0
188,Software Engineer I / II,Triple Ring Technologies,"Newark, CA",117000.0
189,Sr. Software Engineer,Robert Half Corporate Internal,"San Ramon, CA 94583",113000.0
191,Software Engineer,Atson Advisors,"San Francisco, CA",90000.0
193,Software Engineer (Robotics & Autonomous Vehicle),Volvo Cars Technology,"Mountain View, CA",160000.0
194,Software Engineer - Linux,"RackWare, Inc.","Fremont, CA 94538 (Irvington area)",105000.0
195,IT Applications Developer - CJI - Limited Term (Open),County of San Mateo,"San Mateo, CA",120120.0
196,IT Specialist,US General Services Administration,"San Francisco, CA",135505.0
